quaryContent,code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio,code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI,code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity,code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600001-2008-1,sh.600001,2008-04-19,2008-03-31,0.023442,0.036476,0.102146,285520877.100000,0.352547,,2816456569.00,2468852274.00,sh.600001,2008-04-19,2008-03-31,33.634216,2.675847,1.381882,65.128554,0.562735,0.304745,sh.600001,2008-04-19,2008-03-31,0.061288,0.060308,0.122095,0.122222,0.122095,sh.600001,2008-04-19,2008-03-31,1.349695,0.831202,0.188443,0.059410,0.521413,2.089485,sh.600001,2008-04-19,2008-03-31,0.539446,0.460554,0.473089,4.834317,0.106084,2.908366,0.106084,sh.600001,2008-04-19,2008-03-31,0.023442,2.108857,0.304745,1.000000,0.036476,0.748457,0.793146,0.061444
sh.600001-2008-2,sh.600001,2008-08-30,2008-06-30,0.045839,0.030372,0.100249,554809393.600000,0.360562,14329549600.000000,2816456569.00,2608760287.00,sh.600001,2008-08-30,2008-06-30,40.769515,4.415064,2.718227,66.219631,1.279372,0.700498,sh.600001,2008-08-30,2008-06-30,0.051228,0.079226,0.107031,0.094444,0.107031,sh.600001,2008-08-30,2008-06-30,1.299578,0.654756,0.109346,0.104145,0.541301,2.180080,sh.600001,2008-08-30,2008-06-30,0.551283,0.448717,0.453361,6.043631,0.070021,2.305428,0.070021,sh.600001,2008-08-30,2008-06-30,0.045839,2.154525,0.700498,1.000000,0.030372,0.749088,0.834537,0.048585
sh.600001-2008-3,sh.600001,2008-10-31,2008-09-30,0.067195,0.027469,0.090346,822276153.190000,0.357904,,2816456569.00,2608760287.00,sh.600001,2008-10-31,2008-09-30,82.736022,3.263391,3.895880,69.303975,2.001374,1.115209,sh.600001,2008-10-31,2008-09-30,0.049408,0.180966,0.059471,0.057971,0.059471,sh.600001,2008-10-31,2008-09-30,1.236594,0.529247,0.084821,0.311873,0.556802,2.256329,sh.600001,2008-10-31,2008-09-30,0.569615,0.430385,0.438151,4.737446,0.035178,1.280652,0.035178,sh.600001,2008-10-31,2008-09-30,0.067195,2.193551,1.115209,1.000000,0.027469,0.749890,0.788916,0.046431
sh.600001-2008-4,sh.600001,2009-03-31,2008-12-31,0.049421,0.016084,0.074620,599264685.310000,0.212773,27693268000.000000,2816456569.00,2608760287.00,sh.600001,2009-03-31,2008-12-31,168.301543,2.139018,5.415641,66.474128,2.676655,1.422674,sh.600001,2009-03-31,2008-12-31,0.014687,0.044195,-0.376977,-0.377193,-0.376977,sh.600001,2009-03-31,2008-12-31,1.151844,0.497900,0.130075,0.070338,0.543502,2.190591,sh.600001,2009-03-31,2008-12-31,0.519889,0.480111,0.450879,4.322076,0.069446,4.317796,0.069446,sh.600001,2009-03-31,2008-12-31,0.049421,2.159866,1.422674,1.000000,0.016084,0.749043,0.768630,0.027936
sh.600001-2009-1,sh.600001,2009-04-30,2009-03-31,0.003533,0.006467,0.060367,43224894.330000,0.126744,,2816456569.00,2608760287.00,sh.600001,2009-04-30,2009-03-31,178.451171,0.504340,0.830691,108.343492,0.510333,0.255052,sh.600001,2009-04-30,2009-03-31,-0.005344,-0.003740,-0.848610,-0.851485,-0.848610,sh.600001,2009-04-30,2009-03-31,1.112933,0.458474,0.161106,-0.002268,0.522184,2.092854,sh.600001,2009-04-30,2009-03-31,0.478796,0.521204,0.471956,1.836687,0.115320,17.830750,0.115320,sh.600001,2009-04-30,2009-03-31,0.003533,2.141636,0.255052,1.000000,0.006467,0.749673,0.455542,0.018938
sh.600001-2009-2,sh.600001,2009-08-12,2009-06-30,0.005660,0.004490,0.057094,69328025.760000,0.040399,9461683200.000000,2816456569.00,2816456569.00,sh.600001,2009-08-12,2009-06-30,393.386935,0.457565,1.919010,93.798385,1.098784,0.563995,sh.600001,2009-08-12,2009-06-30,0.009350,0.055300,-0.875042,-0.873096,-0.875042,sh.600001,2009-08-12,2009-06-30,1.036165,0.505029,0.199464,0.094237,0.561274,2.279327,sh.600001,2009-08-12,2009-06-30,0.506985,0.493015,0.433417,1.586021,0.190060,42.329259,0.190060,sh.600001,2009-08-12,2009-06-30,0.005660,2.235084,0.563995,1.000000,0.004490,0.737309,0.369491,0.016482
sh.600001-2009-3,sh.600001,2009-10-31,2009-09-30,0.016314,0.008028,0.059927,200894642.840000,-0.007853,,2816456569.00,2816456569.00,sh.600001,2009-10-31,2009-09-30,582.611460,0.463431,3.358944,80.382416,1.847740,0.918655,sh.600001,2009-10-31,2009-09-30,-0.001778,-0.011984,-0.755685,-0.756849,-0.755685,sh.600001,2009-10-31,2009-09-30,0.987632,0.529659,0.099820,-0.020108,0.552224,2.233260,sh.600001,2009-10-31,2009-09-30,0.475260,0.524740,0.444173,2.296384,0.053387,6.650206,0.053387,sh.600001,2009-10-31,2009-09-30,0.016314,2.212100,0.918655,1.000000,0.008028,0.740386,0.564533,0.019207
